,province,DailyTotals,date,DailyRecovered,TotalDeaths,DailyDeaths,TotalActive,DailyVaccinated,Aboriginal Day,Boxing Day,Canada Day,Christmas,Civic Holiday,Easter,Family Day,Fathers Day,Halloween,Heritage Day,Islander Day,Labours Day,Louis Riel Day,Mothers Day,New Year's day,Remembrance Day,St. Jean Baptiste Day,St. Patricks Day,Thanksgiving,Valentine's day,Victoria Day,Lockdown_yesorno
36,Alberta,0,2020-03-01,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
37,Alberta,0,2020-03-02,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
38,Alberta,0,2020-03-03,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
39,Alberta,0,2020-03-04,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
40,Alberta,1,2020-03-05,0,0,0,1,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
41,Alberta,1,2020-03-06,0,0,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
42,Alberta,0,2020-03-07,0,0,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
43,Alberta,2,2020-03-08,0,0,0,4,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44,Alberta,10,2020-03-09,0,0,0,14,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45,Alberta,0,2020-03-10,0,0,0,14,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
46,Alberta,5,2020-03-11,0,0,0,19,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47,Alberta,4,2020-03-12,0,0,0,23,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
48,Alberta,6,2020-03-13,0,0,0,29,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49,Alberta,10,2020-03-14,0,0,0,39,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50,Alberta,17,2020-03-15,0,0,0,56,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51,Alberta,18,2020-03-16,0,0,0,74,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52,Alberta,23,2020-03-17,0,0,0,97,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False
53,Alberta,22,2020-03-18,0,0,0,119,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54,Alberta,27,2020-03-19,2,1,1,143,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
55,Alberta,49,2020-03-20,1,1,0,191,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
56,Alberta,31,2020-03-21,0,1,0,222,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
57,Alberta,33,2020-03-22,0,1,0,255,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
58,Alberta,42,2020-03-23,0,1,0,297,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
59,Alberta,57,2020-03-24,0,2,1,353,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,Alberta,61,2020-03-25,0,2,0,414,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
61,Alberta,67,2020-03-26,24,2,0,457,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
62,Alberta,56,2020-03-27,6,2,0,507,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
63,Alberta,79,2020-03-28,20,2,0,566,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
64,Alberta,40,2020-03-29,20,3,1,585,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
65,Alberta,29,2020-03-30,21,8,5,588,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
66,Alberta,64,2020-03-31,26,9,1,625,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
67,Alberta,117,2020-04-01,22,11,2,718,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
68,Alberta,97,2020-04-02,32,13,2,781,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
